301 200 3; 301,4142 151,41422 42
301,99863 200,05234 6; 302,9005 152,75247 39
302,99313 200,15686 9; 304,4548 154,01111 36
303,98083 200,3133 12; 306,07285 155,18668 33
304,95898 200,52121 15; 307,75018 156,27596 30
305,9249 200,78003 18; 309,48224 157,27596 27
306,87595 201,08905 21; 311,26425 158,18393 24
307,80954 201,44742 24; 313,09134 158,9974 21
308,72308 201,85416 27; 314,9585 159,71414 18
309,6141 202,30815 30; 316,8606 160,33217 15
310,48013 202,80815 33; 318,79245 160,84981 12
311,31882 203,35278 36; 320,74875 161,26562 9
312,12784 203,94057 39; 322,72412 161,57849 6
312,905 204,56989 42; 324,71317 161,78755 3
313,64813 205,23901 45; 326,71042 161,89223 0
314,35522 205,94612 48; 328,71042 161,89223 -3
315,02435 206,68927 51; 330,70767 161,78755 -6
315,6537 207,46642 54; 332,69672 161,57849 -9
316,2415 208,27544 57; 334,6721 161,26562 -12
316,78613 209,1141 60; 336,6284 160,84981 -15
317,28613 209,98013 63; 338,56024 160,33217 -18
317,7401 210,87114 66; 340,46234 159,71414 -21
318,14685 211,78468 69; 342,3295 158,9974 -24
318,50522 212,71826 72; 344,1566 158,18393 -27
318,81424 213,66931 75; 345,9386 157,27596 -30
319,07306 214,63524 78; 347,67065 156,27596 -33
319,28098 215,61339 81; 349,348 155,18668 -36
319,4374 216,60107 84; 350,96603 154,01111 -39
319,54193 217,5956 87; 352,52032 152,75247 -42
319,59427 218,59422 90; 354,00662 151,41422 -45
319,59427 219,59422 93; 355,42084 150 -48
319,54193 220,59285 96; 356,7591 148,51372 -51
319,4374 221,58737 99; 358,01773 146,95943 -54
319,28098 222,57506 102; 359,1933 145,3414 -57
319,07306 223,5532 105; 360,28256 143,66406 -60
318,81424 224,51913 108; 361,28256 141,932 -63
318,50522 225,47018 111; 362,19055 140,15 -66
318,14685 226,40376 114; 363,00403 138,3229 -69
317,7401 227,3173 117; 363,72076 136,45575 -72
317,28613 228,20831 120; 364,3388 134,55363 -75
316,78613 229,07434 123; 364,85645 132,62178 -78
316,2415 229,91301 126; 365,27228 130,66548 -81
315,6537 230,72203 129; 365,58514 128,69011 -84
315,02435 231,49918 132; 365,7942 126,701065 -87
314,35522 232,24232 135; 365,89886 124,703804 -90
313,64813 232,94943 138; 365,89886 122,703804 -93
312,905 233,61856 141; 365,7942 120,70654 -96
312,12784 234,24788 144; 365,58514 118,7175 -99
311,31882 234,83566 147; 365,27228 116,74212 -102
310,48013 235,3803 150; 364,85645 114,78582 -105
309,6141 235,8803 153; 364,3388 112,853966 -108
308,72308 236,33429 156; 363,72076 110,95185 -111
307,80954 236,74103 159; 363,00403 109,08469 -114
306,87595 237,0994 162; 362,19055 107,2576 -117
305,9249 237,40842 165; 361,28256 105,475586 -120
304,95898 237,66724 168; 360,28256 103,74354 -123
303,98083 237,87515 171; 359,1933 102,0662 -126
302,99313 238,03159 174; 358,01773 100,448166 -129
301,99863 238,13611 177; 356,7591 98,893875 -132
301 238,18845 180; 355,42084 97,407585 -135
300 238,18845 183; 354,00662 95,99337 -138
299,00137 238,13611 186; 352,52032 94,655106 -141
298,00687 238,03159 189; 350,96603 93,39646 -144
297,01917 237,87515 192; 349,348 92,220894 -147
296,04102 237,66724 195; 347,67065 91,131615 -150
295,0751 237,40842 198; 345,9386 90,131615 -153
294,12405 237,0994 201; 344,1566 89,22363 -156
293,19046 236,74103 204; 342,3295 88,41016 -159
292,27692 236,33429 207; 340,46234 87,69342 -162
291,3859 235,8803 210; 338,56024 87,075386 -165
290,51987 235,3803 213; 336,6284 86,55775 -168
289,68118 234,83566 216; 334,6721 86,14192 -171
288,87216 234,24788 219; 332,69672 85,829056 -174
288,095 233,61856 222; 330,70767 85,619995 -177
287,35187 232,94943 225; 328,71042 85,51532 -180
286,64478 232,24232 228; 326,71042 85,51532 -183
285,97565 231,49918 231; 324,71317 85,619995 -186
285,3463 230,72203 234; 322,72412 85,829056 -189
284,7585 229,91301 237; 320,74875 86,14192 -192
284,21387 229,07434 240; 318,79245 86,55775 -195
283,71387 228,20831 243; 316,8606 87,075386 -198
283,2599 227,3173 246; 314,9585 87,69342 -201
282,85315 226,40376 249; 313,09134 88,41016 -204
282,49478 225,47018 252; 311,26425 89,22363 -207
282,18576 224,51913 255; 309,48224 90,131615 -210
281,92694 223,5532 258; 307,75018 91,131615 -213
281,71902 222,57506 261; 306,07285 92,220894 -216
281,5626 221,58737 264; 304,4548 93,39646 -219
281,45807 220,59285 267; 302,9005 94,655106 -222
281,40573 219,59422 270; 301,4142 95,99337 -225
281,40573 218,59422 273; 300 97,407585 -228
281,45807 217,5956 276; 298,66174 98,893875 -231
281,5626 216,60107 279; 297,4031 100,448166 -234
281,71902 215,61339 282; 296,22754 102,0662 -237
281,92694 214,63524 285; 295,13828 103,743546 -240
282,18576 213,66931 288; 294,13828 105,47559 -243
282,49478 212,71826 291; 293,2303 107,25761 -246
282,85315 211,78468 294; 292,4168 109,084694 -249
283,2599 210,87114 297; 291,70007 110,95186 -252
283,71387 209,98013 300; 291,08203 112,85397 -255
284,21387 209,1141 303; 290,5644 114,78583 -258
284,7585 208,27544 306; 290,14856 116,74213 -261
285,3463 207,46642 309; 289,8357 118,71751 -264
285,97565 206,68927 312; 289,62665 120,70655 -267
286,64478 205,94612 315; 289,52197 122,70381 -270
287,35187 205,23901 318; 289,52197 124,70381 -273
288,095 204,56989 321; 289,62665 126,70107 -276
288,87216 203,94057 324; 289,8357 128,69011 -279
289,68118 203,35278 327; 290,14856 130,66548 -282
290,51987 202,80815 330; 290,5644 132,62178 -285
291,3859 202,30815 333; 291,08203 134,55363 -288
292,27692 201,85416 336; 291,70007 136,45575 -291
293,19046 201,44742 339; 292,4168 138,3229 -294
294,12405 201,08905 342; 293,2303 140,15 -297
295,0751 200,78003 345; 294,13828 141,932 -300
296,04102 200,52121 348; 295,13828 143,66406 -303
297,01917 200,3133 351; 296,22754 145,3414 -306
298,00687 200,15686 354; 297,4031 146,95943 -309
299,00137 200,05234 357; 298,66174 148,51372 -312
300 200 360; 300 150 -315
301 200 363; 301,4142 151,41422 -318
301,99863 200,05234 366; 302,9005 152,75247 -321
302,99313 200,15686 369; 304,4548 154,01111 -324
303,98083 200,3133 372; 306,07285 155,18668 -327
304,95898 200,52121 375; 307,75018 156,27596 -330
305,9249 200,78003 378; 309,48224 157,27596 -333
306,87595 201,08905 381; 311,26425 158,18393 -336
307,80954 201,44742 384; 313,09134 158,9974 -339
308,72308 201,85416 387; 314,9585 159,71414 -342
309,61407 202,30815 390; 316,8606 160,33217 -345
310,4801 202,80815 393; 318,79245 160,84981 -348
311,3188 203,35278 396; 320,74875 161,26562 -351
312,1278 203,94057 399; 322,72412 161,57849 -354
312,90497 204,56989 402; 324,71317 161,78755 -357
313,6481 205,23901 405; 326,71042 161,89223 -360
314,3552 205,94612 408; 328,71042 161,89223 -363
315,02432 206,68927 411; 330,70767 161,78755 -366
315,65366 207,46642 414; 332,69672 161,57849 -369
316,24146 208,27544 417; 334,6721 161,26562 -372
316,7861 209,1141 420; 336,6284 160,84981 -375
317,2861 209,98013 423; 338,56024 160,33217 -378
317,74008 210,87114 426; 340,46234 159,71414 -381
318,14682 211,78468 429; 342,3295 158,9974 -384
318,5052 212,71826 432; 344,1566 158,18393 -387
318,8142 213,66931 435; 345,9386 157,27596 -390
319,07303 214,63524 438; 347,67065 156,27596 -393
319,28094 215,61339 441; 349,348 155,18668 -396
319,43738 216,60107 444; 350,96603 154,01111 -399
319,5419 217,5956 447; 352,52032 152,75247 -402
319,59424 218,59422 450; 354,00662 151,41422 -405
319,59424 219,59422 453; 355,42084 150 -408
319,5419 220,59285 456; 356,7591 148,51372 -411
319,43738 221,58737 459; 358,01773 146,95943 -414
319,28094 222,57506 462; 359,1933 145,3414 -417
319,07303 223,5532 465; 360,28256 143,66406 -420
318,8142 224,51913 468; 361,28256 141,932 -423
318,5052 225,47018 471; 362,19055 140,15 -426
318,14682 226,40376 474; 363,00403 138,3229 -429
317,74008 227,3173 477; 363,72076 136,45575 -432
317,2861 228,20831 480; 364,3388 134,55363 -435
316,7861 229,07434 483; 364,85645 132,62178 -438
316,24146 229,91301 486; 365,27228 130,66548 -441
315,65366 230,72203 489; 365,58514 128,69011 -444
315,02432 231,49918 492; 365,7942 126,701065 -447
314,3552 232,24232 495; 365,89886 124,703804 -450
